No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
461,c,,None,correct,correct,correct,,,,"lines ending with a character followed by the string <M0> , 4 or greater times","( ( . * ) ( . . * <M0> . * ) ) { 4 , }",以字符结尾的行，其后跟字符串<M0>，4次或更多次,"character-terminated lines , followed by the string <M0> , 4 or more times","( . * ) ( ( [ <NUM> ] . * <M0> . * ) { 4 , } )",0.564102564,0.503208513,8,0.6521739129999999,0.578947369,0.971825798,0.9190227329999999,0.71969734,0.645701069,0.666666667,0.6190476189999999,0.224971,0.224971,0.224971,0.44581883299999997,0.40887342200000004
462,p,plural,p,bug,bug,bug,,,,"lines containing either digits , a lowercase letter , or the string <M0>",. *( [ <NUM> ] ) + | ( [ <LOW> ] ) | ( <M0> ) . *,包含数字，小写字母或字符串<M0>的行,"lines containing numbers , lowercase letters or the string <M0>",. * ( ( [ <NUM> ] ) + | ( [ <LET> ] ) + ) | ( <M0> ) . *,0.805555556,0.797694475,5,0.7826086959999999,0.7368421059999999,0.9757880990000001,0.931341005,0.727232188,0.6563330510000001,0.7894736840000001,0.759398496,0.196113,0.196113,0.196113,0.492793342,0.458979565
463,p,plural,p,bug,bug,bug,,,,rows containing a capital letter then a vowel in front of the string <M0>,. * ( [ <CAP> ] . * [ <VOW> ] . * ) . * ( <M0> ) . * . *,包含大写字母，然后在字符串<M0>前面的元音的行,lines containing capital letters and then vowels before the string <M0>,. * ( ( [ <LET> ] ) + & ( [ <NUM> ] . * [ <VOW> ] . * ) . * ( <M0> ) . * . * ),0.684931507,0.650576442,7,0.695652174,0.6315789479999999,0.917826925,0.751147343,0.700853556,0.619111709,0.692307692,0.648351648,0.0,0.0,0.0,0.346153846,0.30256410300000003
464,c,,None,correct,correct,correct,,,,strings not having a vowel or a numeric character,~ ( ( [ <VOW> ] ) | ( [ <NUM> ] ) ),没有元音或数字字符的字符串,strings without vowels or numeric characters,~ ( ( [ <VOW> ] ) + | ( [ <NUM> ] ) + ),0.7142857140000001,0.6863780359999999,7,0.695652174,0.6315789479999999,0.8933134429999999,0.6749381529999999,0.6421902429999999,0.536335343,0.833333333,0.80952381,1.0,1.0,1.0,0.916666667,0.911111111
465,FW,FW,FW,bug,bug,bug,"quantifier, under-translation",ut/quantity,"quantifier, under-translation",lines arranged with a lower case letter at least once before the string <M0>,( ( [ <LOW> ] ) + ) . * ( <M0> ) . *,在字符串<M0>之前至少用小写字母排列的行,rows with at least lowercase letters before the string <M0>,( ( . ) + | ( [ <LET> ] ) + ) . * ( <M0> ) . *,0.578947368,0.521313844,10,0.565217391,0.47368421,0.91755692,0.750307933,0.660235661,0.561798176,0.666666667,0.6190476189999999,1.6242852999999999e-06,1.62429e-06,1.62429e-06,0.333334145,0.288889755
466,FW,FW,FW,bug,bug,bug,quantifier ,p,quantifier,"lines with a character , zero or more times before an upper case letter",( ( . ) * ) . * ( [ <CAP> ] ) . *,在大写字母前的字符行，零次或多次,"character line before capital letters , zero or more times",( . ) . * ( ( [ <LET> ] ) + * ) . *,0.309859155,0.193122834,8,0.6521739129999999,0.578947369,0.926289695,0.7774569809999999,0.647136048,0.543314079,0.428571429,0.346938776,False,0.0,0.0,0.214285714,0.16190476199999998
467,FW,BW,amb,bug,bug,bug,,,,lines arranged with a character followed by a lower-case letter before a string that ends with the string <M0>,( . . * [ <LOW> ] . * ) . * ( ( . * ) ( <M0> ) ) . *,以字符<M0>结尾的字符串之前的字符后跟小写字母的行,the line before the string ending with the character <M0> followed by a lowercase letter,( . * ) . * ( <M0> . * [ <LOW> ] . * ) . *,0.281818182,0.158922914,8,0.6521739129999999,0.578947369,0.9647685229999999,0.8970825929999999,0.657633911,0.558126999,0.571428571,0.510204082,0.0,0.0,0.0,0.28571428600000004,0.23809523800000001
468,c,,None,correct,correct,correct,,,,lines with words that have the string <M0> or a number at least one time ,\ b ( <M0> ) | ( ( [ <NUM> ] ) + ) \ b,行中至少包含一次字符串<M0>或数字的单词,words that contain the string <M0> or number at least once in the line,\ b ( . * <M0> . * ) | ( [ <NUM> ] ) + \ b,0.602739726,0.550331978,9,0.608695652,0.52631579,0.951771824,0.8566775670000001,0.711049576,0.633498715,0.571428571,0.510204082,1.0,1.0,1.0,0.7857142859999999,0.771428571
469,BW,BW,BW,bug,bug,bug,"modification, order",incorrect modification,"modification, order","strings with the string <M0> before either a number , an uppercase letter , or a vowel",( <M0> ) . * ( ( [ <NUM> ] ) | ( [ <CAP> ] ) | ( [ <VOW> ] ) ) . *,在数字，大写字母或元音之前的字符串<M0>的字符串,"character string before the number , capital letter or vowel <M0>",( . * ) . * ( ( [ <NUM> ] ) | ( [ <CAP> ] ) ) . *,0.48837209299999995,0.410844527,10,0.565217391,0.47368421,0.9138146070000001,0.7386735740000001,0.5164974720000001,0.358977636,0.7,0.6571428570000001,0.168971,0.168971,0.168971,0.43448549999999997,0.396784533
470,FW,FW,FW,bug,bug,bug,Under-translation,ut,under-translation,"strings having either a capital letter , the string <M0> , or the string <M1> before the string <M2>",( ( [ <CAP> ] ) | ( <M0> ) | ( <M1> ) ) . * ( <M2> ) . *,具有大写字母，字符串<M0>或字符串<M1>的字符串,"string with capital letters , string <M0> or string <M1>",( ( [ <LET> ] ) + | ( <M0> ) ) | ( <M1> ),0.53,0.46161562799999994,11,0.52173913,0.421052631,0.909161916,0.72420897,0.46346581299999995,0.284147767,0.45,0.37142857100000004,0.0094339,0.0094339,0.0094339,0.22971695,0.178364747
471,p,plural,p,bug,bug,bug,,,,lines ending with a string that contains only a capital letter,( . * ) ( . * [ <CAP> ] . * ),以仅包含大写字母的字符串结尾的行,lines ending with a string containing only uppercase letters,( . * ) ( [ <LET> ] ) +,0.709677419,0.68075757,6,0.739130435,0.6842105270000001,0.912960143,0.736017158,0.70850281,0.629905123,0.454545455,0.37662337700000004,0.76832,0.76832,0.76832,0.6114327270000001,0.585528242
472,p,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines arranged with a character before the string <M0> , 4 or greater times","( . ) . * ( ( <M0> ) { 4 , } ) . *",在字符串<M0>之前用字符排列的行，超过4次,"rows arranged with characters before the string <M0> , more than 4 times","( . ) + . * ( ( <M0> ) { , 4 } ) . *",0.786666667,0.774656812,7,0.695652174,0.6315789479999999,0.9301616840000001,0.789494485,0.747700384,0.685214524,0.857142857,0.8367346940000001,0.0,0.0,0.0,0.428571429,0.39047619
473,c,ambiguity,None,correct,bug,correct,,,,lines ending with a string that contains only a capital letter at least once,( ( . * ) ( [ <CAP> ] ) ) +,以至少包含一次大写字母的字符串结尾的行,line ending with a string containing at least one capital letter,( . * ) ( ( . ) + ),0.565789474,0.505265937,7,0.695652174,0.6315789479999999,0.935413455,0.80582155,0.717165802,0.642128964,0.6,0.542857143,0.412698,0.41269799999999995,0.41269799999999995,0.5063489999999999,0.47343893299999995
474,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , the string <M1> , or a vowel",~ ( ( <M0> ) | ( <M1> ) | ( [ <VOW> ] ) ),没有字符串<M0>，字符串<M1>或元音的行,"line without string <M0> , string <M1> or vowel","~ ( ( <M0> ) { , 4 } ) | ( [ <VOW> ] )",0.682539683,0.6476592760000001,11,0.52173913,0.421052631,0.958572847,0.877821052,0.574305838,0.440547635,0.7142857140000001,0.673469388,0.00015258556000000002,0.000152586,0.000152586,0.35721915,0.314367093
475,c,,None,correct,correct,correct,,,,lines with words that contain ending with letters,\ b . * ( . * )( [ <LET> ] ) + . * \ b,包含以字母结尾的单词的行,lines containing words ending in letters,. * ( . * ) ( [ <LET> ] ) + . *,0.530612245,0.462362347,6,0.739130435,0.6842105270000001,0.95928906,0.880047664,0.632611559,0.522819423,0.857142857,0.8367346940000001,0.00020584601999999998,0.00020584599999999998,0.00020584599999999998,0.42867435200000004,0.390585975
476,c,,None,correct,correct,correct,,,,"lines not having a character , not a lower case letter , and not a letter",~ ( ( . ) & ( [ <LOW> ] ) & ( [ <LET> ] ) ),没有字符，没有小写字母，也没有字母的行,"no characters , no lowercase letters , no lines of letters","( ( . ) + | ( . ) + ) { 3 , }",0.575342466,0.5169171579999999,11,0.52173913,0.421052631,0.8770603859999999,0.624409538,0.538935947,0.390639254,0.428571429,0.346938776,0.0,0.0,0.0,0.214285714,0.16190476199999998
477,c,,None,correct,correct,correct,,,,"lines not having a character , not a vowel , and not a letter",~ ( ( . ) & ( [ <VOW> ] ) & ( [ <LET> ] ) ),没有字符，没有元音，也没有字母的行,"no characters , no vowels , no lines of letters",( . * ) + & ( . ) + & ( [ <VOW> ] ) +,0.508196721,0.43502345600000003,10,0.565217391,0.47368421,0.8595307940000001,0.5699123429999999,0.487162125,0.317584246,0.46666666700000003,0.39047619,0.0,0.0,0.0,0.233333333,0.182222222
478,c,,None,correct,correct,correct,,,,"lines not having a character , not an upper case letter , nor a lower-case letter",~ ( ( . ) & ( [ <CAP> ] ) & ( [ <LOW> ] ) ),没有字符，没有大写字母或小写字母的行,"no characters , no capital or lowercase lines",| ( . ) + | ( . ) + | ( [ <LOW> ] ),0.444444444,0.35726856700000004,10,0.565217391,0.47368421,0.840144599,0.509643214,0.35097200700000003,0.125414346,0.428571429,0.346938776,0.0,0.0,0.0,0.214285714,0.16190476199999998
479,p,plural,p,bug,bug,bug,,,,lines with a lower-case letter then a digit in front of an upper case letter,( [ <LOW> ] . * [ <NUM> ] . * ) . * ( [ <CAP> ] ) . *,带有小写字母的行，然后是大写字母前面的数字,"rows with lowercase letters , followed by the numbers before the capital letters",( [ <LET> ] ) . * ( [ <NUM> ] ) + . *,0.4375,0.34879883799999994,8,0.6521739129999999,0.578947369,0.8063425409999999,0.40455706399999997,0.42104022399999996,0.224283504,0.46666666700000003,0.39047619,-1.0,0.0,0.0,0.233333333,0.182222222
480,p,plural,p,bug,bug,bug,,,,strings with a word that has a vowel before a lower-case letter,\ b ( [ <VOW> ] ) . * ( [ <LOW> ] ) . * \ b,小写字母前带有元音的单词的字符串,a string of words with vowels in front of lowercase letters,( b ( [ <VOW> ] ) + . * ( [ <LET> ] ) . * ),0.53968254,0.47342485100000004,13,0.434782609,0.31578947399999996,0.925462173,0.7748843240000001,0.548361014,0.40393841399999997,0.692307692,0.648351648,-1.0,0.0,0.0,0.346153846,0.30256410300000003
481,FW,,None,bug,correct,correct,,,,lines not having a lower-case letter and not a number,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),行没有小写字母而不是数字,lines have no lowercase letters instead of numbers,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) + ),0.622641509,0.5746050079999999,12,0.47826087,0.36842105399999997,0.9373944040000001,0.81198006,0.559733233,0.419985086,0.9090909090000001,0.896103896,0.090909,0.090909,0.090909,0.499999955,0.466666618
482,FW,,None,bug,correct,correct,,,,lines not having a number and not a vowel,~ ( ( [ <NUM> ] ) & ( [ <VOW> ] ) ),行没有数字而不是元音,lines have no numbers instead of vowels,( ( [ <NUM> ] ) + & ( ~ ( [ <VOW> ] ) + ) ) &,0.5365853660000001,0.46964741,10,0.565217391,0.47368421,0.913129312,0.7365430820000001,0.484539283,0.313883307,0.533333333,0.46666666700000003,False,0.0,0.0,0.26666666699999997,0.217777778
483,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , not a character , nor a number",~ ( ( <M0> ) & ( . ) & ( [ <NUM> ] ) ),没有字符串<M0>的行，没有字符，也没有数字,"no line with string <M0> , no characters , no numbers",( ( <M0> ) & ( . ) + & ( [ <NUM> ] ) + ),0.661538462,0.6220453260000001,9,0.608695652,0.52631579,0.965965167,0.9008028020000001,0.590767325,0.463775476,0.8,0.771428571,1.0,1.0,1.0,0.9,0.893333333
484,p,plural,p,bug,bug,bug,,,,strings starting with words that contain a character,( \ b . * . . * \ b ) ( . * ),以包含字符的单词开头的字符串,a string beginning with a word containing characters,( \ b . * . . * \ b ) ( . * ),0.596153846,0.542299569,4,0.826086957,0.789473685,0.969321194,0.9112362479999999,0.636751697,0.52866133,1.0,1.0,1.0,1.0,1.0,1.0,1.0
485,c,,None,correct,correct,correct,,,,rows not having an uppercase letter or a digit,~ ( ( [ <CAP> ] ) | ( [ <NUM> ] ) ),没有大写字母或数字的行,lines without capital letters or numbers,~ ( ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) ),0.347826087,0.23942886,9,0.608695652,0.52631579,0.780773238,0.325065466,0.26209131,0.0,0.642857143,0.591836735,0.9996,0.9996,0.9996,0.8212285709999999,0.809310476
486,FW,FW,FW,bug,bug,bug,"Under-translation, affiliation",order,"order, under-translation, affiliation ",lines with a lower-case letter or a letter in front of a capital letter,( ( [ <LOW> ] ) | ( [ <LET> ] ) ) . * ( [ <CAP> ] ) . *,小写字母或大写字母前面的行,rows before lowercase or uppercase letters,. * ( [ <CAP> ] ) | ( [ <LET> ] ) . *,0.366197183,0.261835001,10,0.565217391,0.47368421,0.796334793,0.373444292,0.281543581,0.02744796,0.4375,0.35714285700000004,0.381294,0.381294,0.381294,0.40939699999999996,0.37002346700000005
487,BW,,None,bug,correct,correct,,,,"lines not having a letter , not a character , and not the string <M0>",~ ( ( [ <LET> ] ) & ( . ) & ( <M0> ) ),行没有字母，字符而不是字符串<M0>,"lines have no letters , characters instead of strings <M0>",( ( [ <LET> ] ) + & ( [ ] ) ) +,0.594202899,0.539920114,13,0.434782609,0.31578947399999996,0.9594093579999999,0.880421655,0.497079636,0.331578264,0.428571429,0.346938776,False,0.0,0.0,0.214285714,0.16190476199999998
488,c,,None,correct,correct,correct,,,,"lines not having a lower-case letter , not the string <M0> , nor vowels",~ ( ( [ <LOW> ] ) & ( <M0> ) & ( [ <VOW> ] ) + ),没有小写字母，字符串<M0>和元音的行,"line without lowercase letters , string <M0> and vowel",~ ( ( ( [ <LET> ] ) + & ( [ <LET> ] ) ) & ( [ <VOW> ] ) ),0.6338028170000001,0.588217797,13,0.434782609,0.31578947399999996,0.891487461,0.669261415,0.516537307,0.359033844,0.647058824,0.596638655,1.0,1.0,1.0,0.8235294120000001,0.811764706
489,c,,None,correct,correct,correct,,,,lines not having a lower-case letter before an upper case letter,~ ( ( [ <LOW> ] ) . * ( [ <CAP> ] ) . * ),行在大写字母之前没有小写字母,lines have no lowercase letters before uppercase letters,( [ <LET> ] ) . * ( [ <LET> ] ) + . * . *,0.75,0.7299366420000001,7,0.695652174,0.6315789479999999,0.93057633,0.790783565,0.666637124,0.570830905,0.46153846200000004,0.384615385,0.00118902,0.00118902,0.00118902,0.231363741,0.180121323
490,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , not vowels , and not a lower-case letter",~ ( ( <M0> ) & ( [ <VOW> ] ) + & ( [ <LOW> ] ) ),行没有字符串<M0>，没有元音，也没有小写字母,"line has no string <M0> , no vowels , no lowercase letters","( ( <M0> ) | ( [ <VOW> ] ) + ) { 6 , }",0.706666667,0.677085534,11,0.52173913,0.421052631,0.9555396429999999,0.86839122,0.614194927,0.496832793,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
491,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , not numbers , and not a lower-case letter",~ ( ( <M0> ) & ( [ <NUM> ] ) + & ( [ <LOW> ] ) ),没有字符串<M0>的行，没有数字，也没有小写字母,"no line with string <M0> , no numbers , no lowercase letters","( ( <M0> ) | ( [ <NUM> ] ) + ) { , 6 }",0.684210526,0.649697104,15,0.347826087,0.21052631600000002,0.958833899,0.878632628,0.5977772610000001,0.473666786,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
492,c,,None,correct,correct,correct,,,,lines beginning with a lower-case letter in front of digits,( ( [ <LOW> ] ) ( . * ) ) . *( [ <NUM> ] ) + . *,以数字前的小写字母开头的行,lines that start with a lowercase letter before the number,\ b ( ( [ <LOW> ] ) ( . * ) ) . * ( [ <NUM> ] ) . * \ b,0.559322034,0.49737798200000005,10,0.565217391,0.47368421,0.947944342,0.8447784290000001,0.5141683229999999,0.35569111,0.833333333,0.80952381,9.7713506e-05,9.77135e-05,9.77135e-05,0.416715523,0.37782989200000006
493,p,plural,p,bug,bug,bug,,,,lines starting with vowels or lettered words,( ( [ <VOW> ] ) + |( [ <LET> ] ) + ) ( . * ),以元音或字母词开头的行,lines beginning with a vowel or letter word,( ( [ <VOW> ] ) | ( [ <LET> ] ) ) ( . * ),0.727272727,0.702217529,3,0.869565217,0.842105263,0.9672215559999999,0.90470875,0.6625196210000001,0.565020938,0.8666666670000001,0.847619048,1.0,1.0,1.0,0.933333333,0.9288888890000001
494,FW,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines starting with words that have the string <M0> , 0 or more times",( \ b ( <M0> ) * \ b ) ( . * ),以包含字符串<M0>的单词开头的行，多次或多次,"lines beginning with a word containing the string <M0> , multiple or multiple times","( \ b . * <M0> . * ) { 5 , }",0.6144578310000001,0.564623859,6,0.739130435,0.6842105270000001,0.950813323,0.853697713,0.536168396,0.386734124,0.41666666700000005,0.333333333,0.0040455,0.0040455,0.0040455,0.210356083,0.157713156
495,BW,plural,p,bug,bug,bug,,,,lines not having lettered words and ending with a lower-case letter,( ~( [ <LET> ] ) + ) & ( ( . * ) ( [ <LOW> ] ) ),没有字母的单词并以小写字母结尾的行,lines that have no letters and end with lowercase letters,\ b ( [ <LET> ] ) + & ( ( . * ) ( [ <LET> ] ) ) \ b,0.701492537,0.670774953,7,0.695652174,0.6315789479999999,0.9284564820000001,0.784193237,0.6210910620000001,0.506563525,0.705882353,0.663865546,0.00050557085,0.000505571,0.000505571,0.35319396200000003,0.310073559
496,c,,None,correct,correct,correct,,,,"lines not having an uppercase letter , not a lower case letter , and not numbers",~ ( ( [ <CAP> ] ) & ( [ <LOW> ] ) & ( [ <NUM> ] ) + ),没有大写字母，没有小写字母和数字的行,"no capital letters , no lowercase letters and numbers","( ( [ <LET> ] ) + { 3 , } ) & ( [ <NUM> ] ) +",0.575,0.516499472,13,0.434782609,0.31578947399999996,0.7912066179999999,0.357501471,0.47879543399999996,0.305778498,0.6,0.542857143,False,0.0,0.0,0.3,0.253333333
497,p,plural,p,bug,bug,bug,,,,lines composed of an upper case letter before characters,. * ( [ <CAP> ] ) . * ( . ) + . * . *,在字符前由大写字母组成的行,a line consisting of capital letters before the character,. * ( [ <LET> ] ) . * ( <M0> ) . * . *,0.526315789,0.45712221399999997,6,0.739130435,0.6842105270000001,0.880208793,0.634197521,0.550483827,0.406933791,0.8,0.771428571,2.0428549999999998e-06,2.0428599999999997e-06,2.0428599999999997e-06,0.400001021,0.36000109
